MonthID,start.time,end.time,len
T1,2017-11-30,2017-12-31,31
T2,2017-12-31,2018-01-31,31
T3,2018-01-31,2018-02-28,28
T4,2018-02-28,2018-03-31,31
T5,2018-03-31,2018-04-30,30
T6,2018-04-30,2018-05-31,31
T7,2018-05-31,2018-06-30,30
T8,2018-06-30,2018-07-31,31
T9,2018-07-31,2018-08-31,31
T10,2018-08-31,2018-09-30,30
T11,2018-09-30,2018-10-31,31
T12,2018-10-31,2018-11-30,30
T13,2018-11-30,2018-12-31,31
T14,2018-12-31,2019-01-31,31
T15,2019-01-31,2019-02-28,28
T16,2019-02-28,2019-03-31,31
T17,2019-03-31,2019-04-30,30
T18,2019-04-30,2019-05-31,31
T19,2019-05-31,2019-06-30,30
T20,2019-06-30,2019-07-31,31
T21,2019-07-31,2019-08-31,31
T22,2019-08-31,2019-09-30,30
T23,2019-09-30,2019-10-31,31
T24,2019-10-31,2019-11-30,30
